timestamp,open,high,low,close,volume
1769011200000,21.562,21.993,20.516,21.875,224231.0603
1769025600000,21.881,22.086,21.438,21.547,99681.6372
1769040000000,21.561,22.196,21.537,21.59,55052.1718
1769054400000,21.6,21.971,21.6,21.933,44744.5126
1769068800000,21.966,22.227,21.798,21.843,62308.2764
1769083200000,21.838,21.981,21.176,21.3,80963.0037
1769097600000,21.294,21.751,21.146,21.458,93661.8206
1769112000000,21.43,21.507,21.279,21.471,30383.7505
1769126400000,21.46,21.818,21.398,21.814,22349.4339
1769140800000,21.814,21.882,21.426,21.476,48540.0556
1769155200000,21.471,21.505,20.848,21.249,90422.1883
1769169600000,21.247,22.33,21.177,22.33,98115.7979
1769184000000,22.339,23.064,22.247,22.406,248282.1067
1769198400000,22.414,22.747,22.32,22.655,53342.0475
1769212800000,22.652,23.3,22.623,23.108,99604.0818
1769227200000,23.106,23.171,22.834,22.847,40578.6653
1769241600000,22.869,23.459,22.836,23.231,126150.5277
1769256000000,23.225,23.464,23.034,23.057,53934.1053
1769270400000,23.067,23.873,22.951,23.461,166605.2154
1769284800000,23.46,23.758,23.165,23.221,76697.4178
1769299200000,23.22,23.421,22.934,22.942,200282.4978
1769313600000,22.944,23.021,22.733,22.92,184347.8032
1769328000000,22.933,23.007,22.068,22.515,10784046.0991
1769342400000,22.512,22.729,22.457,22.482,38128.7992
1769356800000,22.476,22.626,21.694,21.815,204493.8196
1769371200000,21.822,22.279,21.66,22.194,147049.5999
1769385600000,22.185,22.503,21.854,21.971,158857.5912
1769400000000,21.971,22.337,21.944,22.24,66669.4989
1769414400000,22.23,22.571,22.035,22.285,98508.5205
1769428800000,22.281,22.873,22.137,22.446,110023.2288
1769443200000,22.46,24.408,22.439,24.122,299553.954
1769457600000,24.131,25.323,24.005,24.948,202116.4822
1769472000000,24.942,26.463,24.909,26.105,272346.262
1769486400000,26.075,27.779,26.075,27.44,345019.067
1769500800000,27.447,28.201,27.25,27.6,754504.0657
1769515200000,27.5,28.176,27.194,28.176,162006.5513
1769529600000,28.141,29.489,27.47,28.92,49321027.4886
1769544000000,29.01,31.0,28.833,31.0,108871098.6708
1769558400000,30.8,33.928,30.8,33.746,298303.531
1769572800000,33.556,34.239,32.525,33.488,211939.1672
1769587200000,33.581,36.358,33.506,33.939,405274722.5162
1769601600000,33.944,34.691,33.088,33.507,30449.8003
1769616000000,33.527,33.635,32.407,33.461,1728795.8075
1769630400000,33.416,34.526,32.62,34.448,13306.0765
1769644800000,34.445,34.472,31.775,31.775,615782.7615
1769659200000,31.717,33.229,31.304,32.493,1368.0714
1769673600000,32.449,33.6,31.932,33.324,7947.5691
1769688000000,33.33,34.578,31.843,33.137,46499.5423
1769702400000,33.161,33.975,32.015,32.143,44426.0232
1769716800000,32.109,32.888,30.453,30.808,439319.1479
1769731200000,30.839,30.867,28.193,29.256,791517.7034
1769745600000,29.223,29.783,28.591,29.185,509731.0866
1769760000000,29.136,30.918,29.048,30.615,641007.762
1769774400000,30.602,30.718,28.78,29.046,635058.2667
1769788800000,28.973,32.866,28.568,32.092,581283.5967
1769803200000,32.112,32.117,30.35,30.654,19953349.1903
1769817600000,30.642,32.14,30.56,31.675,3300492.7006
1769832000000,31.652,31.866,30.469,30.688,238250.7618
1769846400000,30.694,30.946,29.872,30.299,457579.7014
1769860800000,30.293,30.852,28.589,28.674,888897.7781
