timestamp,open,high,low,close,volume
1769011200000,130.45,131.64,125.38,131.47,1496285.319333
1769025600000,131.5,131.99,129.21,129.51,802078.558038
1769040000000,129.54,130.59,129.54,129.85,188228.194473
1769054400000,129.86,130.5,129.73,129.78,73828.645403
1769068800000,129.8,130.93,129.35,130.14,264276.73893
1769083200000,130.11,130.89,126.73,127.46,620566.720667
1769097600000,127.47,129.36,126.5,129.32,347854.114567
1769112000000,129.27,129.71,128.03,128.39,79189.859822
1769126400000,128.49,128.95,128.09,128.72,97599.855742
1769140800000,128.74,129.86,127.38,127.89,300722.713532
1769155200000,127.92,127.99,126.99,127.51,339401.756992
1769169600000,127.54,127.99,125.39,127.88,220895.340601
1769184000000,127.9,130.13,126.49,128.04,424011.066597
1769198400000,128.09,128.26,126.73,127.46,90546.113383
1769212800000,127.44,128.11,127.31,127.91,144343.657678
1769227200000,127.91,128.5,127.11,127.14,50926.249553
1769241600000,127.13,127.89,126.96,127.19,83875.562906
1769256000000,127.18,127.39,126.83,126.83,44484.329547
1769270400000,126.86,127.5,126.5,127.32,105890.18411
1769284800000,127.31,127.75,127.09,127.21,96760.654597
1769299200000,127.21,127.63,126.38,126.68,85900.97866
1769313600000,126.65,127.0,126.37,126.49,58086.3468
1769328000000,126.48,127.17,126.0,126.77,75274.327357
1769342400000,126.78,127.11,125.51,125.6,275858.989432
1769356800000,125.6,125.86,117.76,117.81,741381.234427
1769371200000,117.97,119.43,117.48,118.87,292757.08277
1769385600000,118.86,122.72,118.61,121.55,252355.343124
1769400000000,121.56,123.5,121.56,122.83,94627.893024
1769414400000,122.83,123.47,121.79,122.51,134476.300462
1769428800000,122.51,125.1,122.37,123.48,257125.559951
1769443200000,123.54,125.49,123.07,124.31,300385.012953
1769457600000,124.33,124.84,123.46,124.22,133974.009765
1769472000000,124.22,125.16,123.6,124.46,169932.673855
1769486400000,124.51,125.01,124.01,124.45,152743.168696
1769500800000,124.53,124.78,123.58,124.06,286220.801027
1769515200000,124.15,125.01,123.14,125.01,83797.293192
1769529600000,125.02,126.73,123.58,125.8,171333.383099
1769544000000,125.84,128.0,125.8,127.23,60612.861478
1769558400000,127.19,127.49,126.66,126.96,389955.827423
1769572800000,126.97,127.51,126.46,127.04,1316764.952968
1769587200000,127.08,128.25,126.12,128.21,1244232.207962
1769601600000,128.16,128.22,125.83,126.05,2120786.833848
1769616000000,126.06,126.97,125.45,126.05,3195731.429771
1769630400000,126.03,126.45,124.9,125.36,1183198.527436
1769644800000,125.36,125.5,122.73,123.13,2670493.619751
1769659200000,123.08,124.21,122.63,123.74,158874.306327
1769673600000,123.8,124.0,122.72,122.87,547307.626881
1769688000000,122.87,123.5,116.22,117.63,5983219.643308
1769702400000,117.7,119.96,115.5,116.85,3354854.045247
1769716800000,116.85,117.97,116.59,117.83,294702.639467
1769731200000,117.85,118.12,112.42,114.44,2956425.210193
1769745600000,114.43,116.14,113.21,115.82,4736593.685702
1769760000000,115.82,117.25,114.8,116.93,1251378.075935
1769774400000,117.06,117.53,114.79,116.82,1588936.439285
1769788800000,116.82,119.5,114.52,118.32,1007556.624531
1769803200000,118.32,118.5,116.6,117.6,1219492.210935
1769817600000,117.6,118.63,117.4,118.36,946084.462055
1769832000000,118.41,119.0,117.27,117.35,1507480.986506
1769846400000,117.4,117.52,113.66,116.0,2840240.420194
1769860800000,116.06,116.5,108.6,108.79,10624245.526239
1769875200000,108.67,109.51,97.31,101.79,7764096.055185
1769889600000,101.79,106.44,100.55,105.47,1171477.765926
1769904000000,105.56,106.33,104.24,104.98,3051297.108396
1769918400000,104.98,105.96,104.11,105.19,2158161.374664
1769932800000,105.19,106.04,103.76,105.02,1545300.894154
1769947200000,105.04,106.56,100.49,101.73,5432766.453186
1769961600000,101.74,104.17,101.17,101.95,2679598.700018
1769976000000,101.95,102.81,98.25,100.74,3343758.204381
1769990400000,100.77,103.2,96.36,100.0,28483176.574337
1770004800000,100.06,102.41,97.53,101.44,4119258.041396
1770019200000,101.45,104.0,101.43,102.78,1912855.027699
1770033600000,102.79,106.5,102.61,104.68,1272550.855046
1770048000000,104.7,105.71,103.56,103.92,2606749.275785
1770062400000,103.92,105.18,103.37,104.5,899224.533401
1770076800000,104.55,104.65,102.22,104.15,2601845.903842
1770091200000,104.16,105.04,103.05,104.66,2083318.31508
1770105600000,104.69,105.0,102.6,103.01,2970185.901705
1770120000000,103.02,104.8,100.52,104.49,96883806.186823
1770134400000,104.5,104.86,96.76,99.06,114607061.400451
1770148800000,99.06,101.76,97.39,97.84,1551546.697371
1770163200000,97.85,99.64,97.2,99.11,5353661.734215
1770177600000,99.13,99.72,97.15,97.89,79584348.028495
1770192000000,97.92,98.7,94.95,96.19,10989047.946223
1770206400000,96.11,96.71,91.5,92.81,14942601.312944
1770220800000,92.81,94.61,90.26,94.42,3361966.60414
