timestamp,open,high,low,close,volume
1772244000000,81.82,82.18,81.7,82.17,1228968.845649
1772247600000,82.14,82.14,81.56,81.65,8853.671227
1772251200000,81.73,81.91,80.84,81.63,54821.094229
1772254800000,81.64,81.78,81.3,81.5,1140860.361003
1772258400000,81.55,81.55,77.2,77.59,114434.202869
1772262000000,77.6,79.49,77.27,78.78,91736.587204
1772265600000,78.72,78.72,77.89,78.02,43979.86849
1772269200000,78.03,78.67,77.81,78.44,53102.772654
1772272800000,78.44,79.14,78.0,79.11,92721.13959
1772276400000,79.12,79.52,78.68,78.77,75873.184174
1772280000000,78.77,79.22,78.67,78.9,90465.043993
1772283600000,78.91,80.86,78.73,80.81,127915.904502
1772287200000,80.82,81.48,80.1,80.23,180776.992716
1772290800000,80.25,81.04,79.7,80.91,78618.809209
1772294400000,80.92,81.29,80.52,81.09,41608.726947
1772298000000,81.08,81.41,80.69,81.41,59794.508415
1772301600000,81.39,82.85,81.09,82.36,72668.327313
1772305200000,82.36,82.73,81.49,82.23,70328.834283
1772308800000,82.23,85.0,82.04,84.9,91818.432997
1772312400000,84.91,85.01,83.65,84.48,85984.734186
1772316000000,84.48,85.47,84.28,84.29,51764.106457
1772319600000,84.29,84.71,83.86,84.36,31791.970945
1772323200000,84.36,85.76,84.32,85.76,746557.496069
1772326800000,85.76,87.31,83.96,86.71,2085122.139422
1772330400000,86.74,88.94,86.74,88.0,90706.57881
1772334000000,87.98,88.29,87.67,88.01,38891.864768
1772337600000,88.02,88.21,86.92,87.55,84921.112896
1772341200000,87.55,88.01,87.24,87.27,43097.889281
1772344800000,87.28,87.36,86.22,86.68,38747.749097
1772348400000,86.68,86.85,86.35,86.63,46894.966651
1772352000000,86.63,86.77,85.11,85.17,59886.564451
1772355600000,85.25,85.83,84.85,84.9,45687.173221
1772359200000,84.98,85.62,84.72,85.23,53248.072211
1772362800000,85.23,85.47,85.04,85.17,17350.85801
1772366400000,85.18,85.36,84.8,84.91,19609.813051
1772370000000,84.88,86.81,84.55,86.09,69085.420204
1772373600000,86.11,86.8,85.5,85.85,55075.462935
1772377200000,85.84,86.61,85.66,85.66,29726.893404
1772380800000,85.66,86.03,83.95,84.01,44720.644145
1772384400000,84.03,84.28,83.24,83.91,94855.596517
1772388000000,83.92,84.91,83.89,83.94,51779.43153
1772391600000,83.94,83.99,82.8,83.24,80517.988703
1772395200000,83.24,83.25,81.75,82.0,50527.75866
1772398800000,82.0,83.0,82.0,82.94,255786.401941
1772402400000,82.95,83.86,82.49,82.68,210076.572991
1772406000000,82.71,84.01,82.54,83.6,54810.614233
1772409600000,83.6,85.21,83.5,85.07,53619.316606
1772413200000,85.05,86.08,84.44,84.62,55242.934297
1772416800000,84.62,84.76,83.55,84.15,35721.80796
1772420400000,84.14,85.05,83.88,84.74,41576.319758
1772424000000,84.77,84.82,84.1,84.18,24926.64761
1772427600000,84.3,84.65,83.86,84.2,24658.439855
1772431200000,84.23,84.23,82.95,83.29,46932.261918
1772434800000,83.27,83.29,82.46,82.91,41469.734741
1772438400000,82.94,83.47,82.42,83.47,34755.64802
1772442000000,83.47,84.08,83.35,83.69,44200.330671
1772445600000,83.66,84.04,83.38,83.89,52602.891323
1772449200000,83.91,84.23,83.5,83.87,42874.622177
1772452800000,83.89,84.12,83.6,83.7,11813993.70392
1772456400000,83.73,83.8,82.94,83.08,19133801.082325
1772460000000,83.1,85.84,82.86,85.63,30102879.34591
1772463600000,85.61,88.72,85.47,86.91,154708917.279376
1772467200000,86.9,90.08,86.39,88.82,41148844.533142
1772470800000,88.85,88.98,86.45,87.61,89602.374685
1772474400000,87.62,87.96,86.73,87.32,77046.664095
1772478000000,87.32,87.76,86.9,87.65,49190.906254
1772481600000,87.66,88.04,86.89,87.61,56727.898279
1772485200000,87.6,87.84,87.23,87.55,45099.256241
1772488800000,87.55,88.13,87.38,87.94,41194.301219
1772492400000,88.0,88.05,86.39,86.64,66614.341231
1772496000000,86.64,87.25,86.15,86.96,38057.865994
1772499600000,86.94,87.12,86.19,86.19,54825.563842
1772503200000,86.19,86.47,85.25,86.22,50783.864959
1772506800000,86.21,86.62,85.94,86.29,17964.630355
1772510400000,86.3,86.44,85.66,85.85,16529.260988
1772514000000,85.86,86.74,85.44,85.78,47928.465475
1772517600000,85.79,85.92,85.41,85.85,33894.78221
1772521200000,85.86,86.26,85.41,85.59,33116.245905
1772524800000,85.6,85.74,83.99,84.26,46393.284682
1772528400000,84.27,84.97,84.06,84.27,29387.076475
1772532000000,84.31,84.53,83.76,83.89,30534.188954
1772535600000,83.93,84.33,83.8,84.29,62047.208198
1772539200000,84.26,85.32,84.19,84.42,53391.716535
1772542800000,84.43,84.47,83.21,83.62,49151.291626
1772546400000,83.64,84.31,82.65,83.27,57227.851681
1772550000000,83.27,85.06,83.11,85.04,173984.048689
1772553600000,85.05,87.29,84.46,85.39,332379.774589
1772557200000,85.4,85.47,84.26,85.19,240271.88204
1772560800000,85.19,85.96,84.57,85.38,354383.557913
1772564400000,85.39,86.36,84.78,85.08,1428285.723319
1772568000000,85.08,85.38,84.74,84.75,979637.275567
1772571600000,84.82,85.17,84.28,85.12,885043.582168
1772575200000,85.13,86.58,85.12,86.26,135759.40826
1772578800000,86.29,87.41,86.25,86.98,167503.012163
1772582400000,86.98,87.38,86.33,86.66,188451.549067
1772586000000,86.66,88.0,86.53,87.26,224182.000105
1772589600000,87.26,87.43,86.62,87.03,237836.112827
1772593200000,87.09,87.1,85.26,85.8,243510.606704
1772596800000,85.78,85.87,84.9,85.39,175331.989458
1772600400000,85.41,85.97,84.85,85.7,160623.463926
1772604000000,85.71,86.03,84.99,85.61,191114.174202
1772607600000,85.61,87.53,85.54,87.46,184654.173074
1772611200000,87.48,89.82,87.03,89.69,188622.612058
1772614800000,89.69,91.24,89.29,90.53,6517883.860152
1772618400000,90.54,91.01,89.98,90.05,894770.647847
1772622000000,90.05,90.6,89.55,89.78,708692.201593
1772625600000,89.78,89.84,88.81,89.46,1223851.979514
1772629200000,89.46,90.2,89.32,89.77,483934.409072
1772632800000,89.79,91.57,89.78,90.17,1944314.789567
1772636400000,90.17,93.04,90.17,92.94,5903540.074222
1772640000000,92.93,93.2,91.19,91.56,1355859.02011
1772643600000,91.56,92.2,90.96,91.55,514117.474998
1772647200000,91.56,92.41,91.27,92.36,167136.49964
1772650800000,92.36,94.3,92.35,93.18,301301.110749
1772654400000,93.19,93.72,92.85,93.02,219316.272396
1772658000000,93.01,93.13,92.17,92.36,174563.695595
1772661600000,92.36,92.95,91.19,91.34,1987878.777044
1772665200000,91.34,91.41,90.38,90.95,1526765.803532
1772668800000,90.96,91.38,90.78,90.83,163486.864262
1772672400000,90.83,91.38,89.77,89.97,1487832.123291
1772676000000,90.0,90.64,90.0,90.22,132303.914857
1772679600000,90.21,90.51,89.65,89.99,357259.679453
1772683200000,90.03,90.71,89.96,90.37,422563.461016
1772686800000,90.41,91.0,90.06,90.17,830772.730823
1772690400000,90.19,90.96,89.72,90.88,725821.191985
1772694000000,90.89,91.28,90.0,90.18,3539812.163288
1772697600000,90.19,90.71,89.76,90.64,547591.222445
1772701200000,90.64,91.91,90.63,91.19,1132630.419509
1772704800000,91.19,92.91,91.07,92.66,563012.699982
1772708400000,92.66,92.76,91.67,91.83,456686.082464
1772712000000,91.84,92.18,91.4,92.02,917967.433189
1772715600000,92.04,92.06,90.63,90.84,1878211.000134
1772719200000,90.84,91.39,90.16,91.01,1092803.225537
1772722800000,91.01,91.25,88.9,89.61,2044647.96345
1772726400000,89.61,89.63,88.05,88.95,1664302.665167
1772730000000,88.98,89.47,87.98,88.13,2058992.464615
1772733600000,88.14,88.86,88.07,88.82,163150.851187
1772737200000,88.82,89.33,88.73,88.76,536653.257398
1772740800000,88.75,89.54,88.7,89.21,274662.332656
1772744400000,89.22,89.84,88.9,89.13,877324.129639
1772748000000,89.13,89.38,88.9,89.13,593261.038465
1772751600000,89.12,89.19,88.64,88.69,910950.759559
1772755200000,88.78,89.02,88.68,88.78,805505.141402
1772758800000,88.86,90.01,88.1,89.13,654971.215689
1772762400000,89.13,89.29,88.25,88.35,322830.054851
1772766000000,88.37,88.68,88.22,88.4,26878.041148
1772769600000,88.41,88.59,87.8,88.14,475571.165985
1772773200000,88.15,88.45,87.54,87.92,1240828.799188
1772776800000,87.91,88.43,87.7,88.12,454823.843895
1772780400000,88.12,88.89,87.82,88.69,1678295.423124
1772784000000,88.71,88.73,88.23,88.34,2411506.618233
1772787600000,88.34,88.48,87.22,87.52,1345403.406252
1772791200000,87.51,87.92,87.43,87.7,19755.734737
1772794800000,87.71,88.11,86.8,87.26,3097827.495183
